i t_now Tx Ty Tz theta_x_filt theta_y_filt 
1 0.005204916000366211 0.0 0.0 0.0 0.0 0.0 
2 0.010620594024658203 0.0 0.0 0.0 0.0 0.0 
3 0.015993833541870117 0.0 0.0 0.0 0.0 0.0 
4 0.021296262741088867 0.0 0.0 0.0 0.0 0.0 
5 0.026558876037597656 0.0 0.0 0.0 0.0 0.0 
6 0.03182268142700195 0.0 0.0 0.0 0.0 0.0 
7 0.037084102630615234 0.0 0.0 0.0 0.0 0.0 
8 0.04239654541015625 0.0 0.0 0.0 0.0 0.0 
9 0.047955989837646484 0.0 0.0 0.0 0.0 0.0 
10 0.05320024490356445 0.0 0.0 0.0 0.0 0.0 
11 0.058603525161743164 0.0 0.0 0.0 0.0 0.0 
12 0.06396961212158203 0.0 0.0 0.0 0.0 0.0 
13 0.06931924819946289 0.0 0.0 0.0 0.0 0.0 
14 0.07457923889160156 0.0 0.0 0.0 0.0 0.0 
15 0.0799102783203125 0.0 0.0 0.0 0.0 0.0 
16 0.08520698547363281 0.0 0.0 0.0 0.0 0.0 
17 0.09047770500183105 0.0 0.0 0.0 0.0 0.0 
18 0.09573841094970703 0.0 0.0 0.0 0.0 0.0 
19 0.10099387168884277 0.0 0.0 0.0 0.0 0.0 
20 0.10623931884765625 0.0 0.0 0.0 0.0 0.0 
21 0.11171221733093262 0.0 0.0 0.0 0.0 0.0 
22 0.11704492568969727 0.0 0.0 0.0 0.0 0.0 
23 0.12237215042114258 0.0 0.0 0.0 0.0 0.0 
24 0.12773537635803223 0.0 0.0 0.0 0.0 0.0 
25 0.13302159309387207 0.0 0.0 0.0 0.0 0.0 
26 0.13824772834777832 0.0 0.0 0.0 0.0 0.0 
27 0.14348673820495605 0.0 0.0 0.0 0.0 0.0 
28 0.14878058433532715 0.0 0.0 0.0 0.0 0.0 
29 0.15399479866027832 0.0 0.0 0.0 0.0 0.0 
30 0.1591958999633789 0.0 0.0 0.0 0.0 0.0 
31 0.1645972728729248 0.0 0.0 0.0 0.0 0.0 
32 0.16986942291259766 0.0 0.0 0.0 0.0 0.0 
33 0.17518877983093262 0.0 0.0 0.0 0.0 0.0 
34 0.18045496940612793 0.0 0.0 0.0 0.0 0.0 
35 0.1857748031616211 0.0 0.0 0.0 0.0 0.0 
36 0.19118285179138184 0.0 0.0 0.0 0.0 0.0 
37 0.19650650024414062 0.0 0.0 0.0 0.0 0.0 
38 0.20176386833190918 0.0 0.0 0.0 0.0 0.0 
39 0.20705223083496094 0.0 0.0 0.0 0.0 0.0 
40 0.21273565292358398 0.0 0.0 0.0 0.0 0.0 
41 0.21858859062194824 0.0 0.0 0.0 0.0 0.0 
42 0.22405219078063965 0.0 0.0 0.0 0.0 0.0 
43 0.22952556610107422 0.0 0.0 0.0 0.0 0.0 
44 0.23493218421936035 0.0 0.0 0.0 0.0 0.0 
45 0.24037599563598633 0.0 0.0 0.0 0.0 0.0 
46 0.24583959579467773 0.0 0.0 0.0 0.0 0.0 
47 0.2515261173248291 0.0 0.0 0.0 0.0 0.0 
48 0.25713372230529785 0.0 0.0 0.0 0.0 0.0 
49 0.2626943588256836 0.0 0.0 0.0 0.0 0.0 
50 0.2683572769165039 0.0 0.0 0.0 0.0 0.0 
51 0.27505946159362793 0.0 0.0 0.0 0.0 0.0 
52 0.2812626361846924 0.0 0.0 0.0 0.0 0.0 
53 0.2868661880493164 0.0 0.0 0.0 0.0 0.0 
54 0.29234743118286133 0.0 0.0 0.0 0.0 0.0 
55 0.29808950424194336 0.0 0.0 0.0 0.0 0.0 
56 0.30382776260375977 0.0 0.0 0.0 0.0 0.0 
57 0.3093526363372803 0.0 0.0 0.0 0.0 0.0 
58 0.31481480598449707 0.0 0.0 0.0 0.0 0.0 
59 0.32125353813171387 0.0 0.0 0.0 0.0 0.0 
60 0.3267028331756592 0.0 0.0 0.0 0.0 0.0 
61 0.3324317932128906 0.0 0.0 0.0 0.0 0.0 
62 0.33794331550598145 0.0 0.0 0.0 0.0 0.0 
63 0.3475522994995117 0.0 0.0 0.0 0.0 0.0 
