i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y Kp_in_x Ki_in_x Kd_in_x Kp_in_y Ki_in_y Kd_in_y Kp_out_x Ki_out_x Kd_out_x Kp_out_y Ki_out_y Kd_out_y Kp_yaw Ki_yaw Kd_yaw
1 0.005303621292114258 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
2 0.010701179504394531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
3 0.01613163948059082 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
4 0.021425724029541016 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
5 0.026671409606933594 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
6 0.031942129135131836 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
7 0.03724074363708496 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
8 0.042558908462524414 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
9 0.047844886779785156 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
10 0.053110361099243164 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
11 0.05853533744812012 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
12 0.06385040283203125 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
13 0.06916379928588867 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
14 0.0744166374206543 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
15 0.07964754104614258 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
16 0.08500289916992188 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
17 0.09051012992858887 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
18 0.09611082077026367 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
19 0.10202741622924805 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
20 0.10745382308959961 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
21 0.11309170722961426 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
22 0.11847424507141113 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
23 0.12396883964538574 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
24 0.12977910041809082 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
25 0.13649559020996094 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
26 0.14189910888671875 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
27 0.1473073959350586 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
28 0.1526503562927246 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
29 0.15789103507995605 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
30 0.16315698623657227 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.300000000000011 0.0 0.0 9.300000000000011 0.0 0.0 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
