i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd
1 0.005247831344604492 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
2 0.010653972625732422 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
3 0.016022443771362305 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
4 0.021277904510498047 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
5 0.026517868041992188 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
6 0.03180575370788574 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
7 0.03714871406555176 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
8 0.042496442794799805 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
9 0.04776191711425781 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
10 0.05304431915283203 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
11 0.05846691131591797 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.999999999999991 1.5000000000000002 0.4500000000000002 14.999999999999991 1.5000000000000002 0.4500000000000002
