i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y Kp_in_x Ki_in_x Kd_in_x Kp_in_y Ki_in_y Kd_in_y Kp_out_x Ki_out_x Kd_out_x Kp_out_y Ki_out_y Kd_out_y Kp_yaw Ki_yaw Kd_yaw
1 0.005299568176269531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.014024967203525862 -0.02243994752564138 0.007012483601762931 2.3867206472709404 -4.176761132724145 1.4917004045443376 -0.009539626835914692 -0.008130423322485794 -0.0011542948471456778 -0.000983781222020781 -0.23085896942913556 -0.1967562444041562 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
2 0.010760068893432617 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02524494096634655 -0.042074901610577586 0.014024967203525862 2.6477189359119997 -3.971578403867999 1.3238594679559998 -0.01817071778269465 -0.014687216324490469 -0.0021986568517060527 -0.0017771531752633467 -0.20887240091207498 -0.1586743906485131 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
3 0.016204118728637695 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.039269908169872414 -0.06311235241586638 0.021037450805288793 2.6850607281798076 -4.176761132724145 1.4917004045443376 -0.027256076674041976 -0.022555367926896077 -0.003297985277559079 -0.002729199519154425 -0.21986568517060523 -0.19040926877821568 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
4 0.02149033546447754 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05189237865304569 -0.08274730650080259 0.028049934407051724 2.53033687450852 -3.9105206242404407 1.38018374973192 -0.03588716762082193 -0.029636704369061125 -0.0043423472821194535 -0.003586041228656396 -0.20887240091207493 -0.17136834190039424 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
5 0.026792049407958984 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.07994231306009741 -0.12341971139102759 0.042074901610577586 2.0959600859240184 -3.293651563594886 0.8982686082531509 -0.05360361745894922 -0.045110735853792154 -0.006486037712532855 -0.00545839903830885 -0.42873808608268027 -0.37447156193049075 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
6 0.032038211822509766 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08975979010256552 -0.13884717531490604 0.046282391771635345 2.0852754975505743 -2.6810684968507386 0.8936894989502461 -0.05996336868289235 -0.050880713695556266 -0.007255567610629974 -0.006156566357162308 -0.1539059796194238 -0.13963346377069158 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
7 0.037279367446899414 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09957726714503362 -0.1514696457980793 0.0504898819326931 1.8210864482411617 -2.6015520689159453 0.7804656206747838 -0.06541458401770074 -0.05612614809716 -0.00791516466614179 -0.00679126391975636 -0.13191941110236322 -0.12693951251881042 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
8 0.0425419807434082 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.10939474418750172 -0.16549461300160517 0.05469737209375086 1.4888500216057179 -2.3821600345691487 0.8933100129634305 -0.0713200672970765 -0.06163385421884393 -0.008629728142946257 -0.007457696360480115 -0.1429126953608934 -0.133286488144751 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
9 0.04783892631530762 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.11640722778926466 -0.17671458676442586 0.05890486225480862 1.3825874609154043 -2.212139937464647 0.27651749218308086 -0.07631701468731754 -0.06556793002004674 -0.009234358777165422 -0.007933719532425654 -0.12092612684383303 -0.09520463438910785 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
10 0.05307507514953613 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12341971139102759 -0.18793456052724655 0.060307358975161214 1.4869558103823006 -1.7843469724587615 0.5947823241529203 -0.08040542618842383 -0.07002654926140991 -0.009729056568799284 -0.008473212460630599 -0.09893955832677229 -0.10789858564098885 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
